Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
AxisRanges,89,16,28,0,20,7,18,0,0,"AxisRanges@0.0.1","dc22f4e","init","2019-10-25 23:18:21 +0200"
AxisRanges,92,16,28,0,23,7,18,0,0,"AxisRanges@0.0.1","31112c3","getkey etc","2019-10-29 19:05:55 +0100"
AxisRanges,109,17,36,0,32,6,18,0,0,"AxisRanges@0.0.1","0472288","fix many things","2019-11-01 10:29:02 +0100"
AxisRanges,111,17,36,0,32,6,20,0,0,"AxisRanges@0.0.1","3706e1d","ranges(A,symbol)","2019-11-01 10:49:35 +0100"
AxisRanges,113,17,36,0,32,6,22,0,0,"AxisRanges@0.0.1","e1457f3","tidier show","2019-11-01 17:30:11 +0100"
AxisRanges,114,17,36,0,33,6,22,0,0,"AxisRanges@0.0.1","b2cdae9","Tables.jl take 1","2019-11-01 17:36:02 +0100"
AxisRanges,114,17,35,0,34,6,22,0,0,"AxisRanges@0.0.1","44b814f","selectors, etc","2019-11-01 18:36:43 +0100"
AxisRanges,116,17,35,0,34,6,24,0,0,"AxisRanges@0.0.1","fbc1884","a few more <= methods","2019-11-02 11:52:58 +0100"
AxisRanges,113,16,35,0,32,6,24,0,0,"AxisRanges@0.0.1","f51e254","more flexible key-type lookup","2019-11-02 11:53:57 +0100"
AxisRanges,115,16,35,0,34,6,24,0,0,"AxisRanges@0.0.1","26a24dc","immutable","2019-11-02 13:14:17 +0100"
AxisRanges,110,16,35,0,30,5,24,0,0,"AxisRanges@0.0.1","4ca2075","remove map(f, Ref, Tuple) etc","2019-11-02 19:14:50 +0100"
AxisRanges,113,16,36,0,32,5,24,0,0,"AxisRanges@0.0.1","62de044","sort","2019-11-02 20:01:19 +0100"
AxisRanges,117,16,36,0,35,6,24,0,0,"AxisRanges@0.0.1","1576e10","restore map(f, Ref)","2019-11-03 09:26:45 +0100"
AxisRanges,124,17,37,0,38,7,25,0,0,"AxisRanges@0.0.1","7f9d983","map & collect, mostly","2019-11-03 09:34:14 +0100"
AxisRanges,126,17,39,0,38,7,25,0,0,"AxisRanges@0.0.1","8985556","typos & ambiguity","2019-11-03 09:38:45 +0100"
AxisRanges,126,17,40,0,37,7,25,0,0,"AxisRanges@0.0.1","bc2fa50","more general map, hcat, vcat","2019-11-03 14:35:46 +0100"
AxisRanges,128,17,40,0,36,7,28,0,0,"AxisRanges@0.0.1","47729ed","improvements to view","2019-11-03 16:14:37 +0100"
AxisRanges,129,17,43,0,36,7,26,0,0,"AxisRanges@0.0.1","1b4c0a5","allow A.name for ranges, fast with NamedDims#78","2019-11-03 19:38:02 +0100"
AxisRanges,130,17,44,0,36,7,26,0,0,"AxisRanges@0.0.1","31e23a8","selectors, use IntervalSets","2019-11-05 17:37:45 +0100"
AxisRanges,131,17,44,0,37,7,26,0,0,"AxisRanges@0.0.1","8e74b84","equality","2019-11-05 17:53:13 +0100"
AxisRanges,133,17,44,0,39,7,26,0,0,"AxisRanges@0.0.1","25166ec","eachindex, smarter guessdim","2019-11-05 17:55:19 +0100"
AxisRanges,134,17,44,0,39,8,26,0,0,"AxisRanges@0.0.1","61989b1","move wrapdims to its own file","2019-11-05 23:58:02 +0100"
AxisRanges,132,16,43,0,39,8,26,0,0,"AxisRanges@0.0.1","028c8e5","rm _Tuple","2019-11-06 00:00:18 +0100"
AxisRanges,134,16,43,0,41,8,26,0,0,"AxisRanges@0.0.1","465145e","generated guessdim function","2019-11-06 08:22:22 +0100"
AxisRanges,137,16,46,0,41,8,26,0,0,"AxisRanges@0.0.1","1154bf2","filter, isapprox","2019-11-06 11:37:36 +0100"
AxisRanges,141,18,48,0,41,8,26,0,0,"AxisRanges@0.0.1","2fa06b6","auto-adjust range in wrapdims","2019-11-06 11:38:16 +0100"
AxisRanges,140,18,47,0,41,8,26,0,0,"AxisRanges@0.0.1","b40b2e2","rm Between, rename Nearest","2019-11-06 12:18:07 +0100"
AxisRanges,147,24,49,0,39,8,27,0,0,"AxisRanges@0.0.1","abe9c91","broadcasting, first version which works","2019-11-09 02:16:56 +0100"
AxisRanges,150,24,53,0,41,8,24,0,0,"AxisRanges@0.0.1","09ccfbc","far too elaborate pretty printing, with colour","2019-11-09 02:18:19 +0100"
