Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
Books,10,5,1,0,4,0,0,0,0,"Books@0.1.0","52330a4","Build basic html","2021-01-17 13:31:29 +0100"
Books,15,6,1,1,7,0,0,0,0,"Books@0.1.0","0d7ab09","Add write_html_pages","2021-01-17 14:54:04 +0100"
Books,21,7,1,3,10,0,0,0,0,"Books@0.1.0","7f3566c","Add fix_links","2021-01-17 16:10:20 +0100"
Books,23,8,1,3,11,0,0,0,0,"Books@0.1.0","84bed83","Fix html()","2021-01-17 16:15:30 +0100"
Books,32,10,1,4,17,0,0,0,0,"Books@0.1.0","f2748e4","Add section_infos","2021-01-18 20:45:54 +0100"
Books,34,11,1,4,18,0,0,0,0,"Books@0.1.0","b738972","Change menu links to black","2021-01-18 22:24:25 +0100"
Books,35,11,1,5,18,0,0,0,0,"Books@0.1.0","f6bc6a5","Change intro to getting-started","2021-01-19 17:36:56 +0100"
Books,36,11,1,5,19,0,0,0,0,"Books@0.1.0","b0f5bba","Set default templates and styles","2021-01-20 21:59:44 +0100"
Books,40,15,1,5,19,0,0,0,0,"Books@0.1.0","714dd00","Setup CI dependencies via Julia (#8)","2021-01-22 20:37:07 +0100"
Books,42,19,2,2,19,0,0,0,0,"Books@0.1.0","3ea7913","Add split_keepdelim","2021-02-01 18:55:39 +0100"
Books,42,17,2,4,19,0,0,0,0,"Books@0.1.0","ecfa60a","Update html_page_names","2021-02-01 19:05:17 +0100"
Books,41,17,2,4,18,0,0,0,0,"Books@0.1.0","5992411","Give h2 their own pages (fix #9)","2021-02-01 19:12:13 +0100"
Books,42,17,2,4,19,0,0,0,0,"Books@0.1.0","ff39a92","Indent sections in menu","2021-02-01 19:31:36 +0100"
Books,39,16,2,3,18,0,0,0,0,"Books@0.1.0","23262af","Fix menu links (fix #11) and indent via CSS","2021-02-05 19:37:30 +0100"
Books,41,18,2,3,18,0,0,0,0,"Books@0.1.0","b8d7da8","Check whether sudo is necessary","2021-02-11 19:17:02 +0100"
Books,42,18,3,3,18,0,0,0,0,"Books@0.1.0","6334fe2","Add nonempty_run","2021-02-11 19:45:57 +0100"
Books,43,18,4,3,18,0,0,0,0,"Books@0.1.0","75dd8cb","Hide sections below level 3","2021-02-12 16:48:04 +0100"
Books,43,17,4,4,18,0,0,0,0,"Books@0.1.0","7a45f3c","Add subtitle (fix #12)","2021-02-12 17:27:59 +0100"
Books,44,17,5,4,18,0,0,0,0,"Books@0.1.0","5cf4582","Avoid rebuild on svg change (fix #15)","2021-02-12 17:45:50 +0100"
Books,47,18,5,5,19,0,0,0,0,"Books@0.1.0","2e85fe1","Fail CI if pdf creation fails (fix #19)","2021-02-15 18:42:36 +0100"
Books,49,17,5,7,20,0,0,0,0,"Books@0.1.0","8a23940","Add evaluate_include","2021-02-15 19:22:35 +0100"
Books,53,19,5,7,22,0,0,0,0,"Books@0.1.0","920acec","Run functions based on include blocks (fix #13)","2021-02-15 20:33:43 +0100"
Books,51,17,5,7,22,0,0,0,0,"Books@0.1.0","85c4aa0","Move demo methods to BooksDocs","2021-02-15 20:41:19 +0100"
Books,51,15,5,9,22,0,0,0,0,"Books@0.1.0","5764f3e","Fix missing symlink permissions in GitHub","2021-02-15 20:44:27 +0100"
Books,53,15,5,9,24,0,0,0,0,"Books@0.1.0","a12e670","Allow user to overload convert_output","2021-02-15 22:04:18 +0100"
Books,54,15,5,10,24,0,0,0,0,"Books@0.1.0","96daf58","Use Requires","2021-02-17 14:30:40 +0100"
Books,55,15,5,10,25,0,0,0,0,"Books@0.1.0","2b5a422","Add Gadfly","2021-02-17 15:20:26 +0100"
Books,58,15,6,10,27,0,0,0,0,"Books@0.1.0","10f82c0","Add @c_str","2021-02-17 18:39:16 +0100"
Books,58,17,6,8,27,0,0,0,0,"Books@0.1.0","7c979f3","Add cairosvg","2021-02-27 19:44:57 +0100"
Books,60,17,7,8,28,0,0,0,0,"Books@0.1.0","cc179ef","Fix cairosvg installation (#24)","2021-02-27 20:27:59 +0100"
Books,62,17,9,8,28,0,0,0,0,"Books@0.1.0","325f71f","Setup jldoctest","2021-03-02 09:06:59 +0100"
Books,64,17,9,8,30,0,0,0,0,"Books@0.1.0","11711c8","Add crossref and caption to images","2021-03-02 10:54:30 +0100"
Books,67,17,11,8,31,0,0,0,0,"Books@0.1.0","81fe55b","Add outputs","2021-03-04 11:05:01 +0100"
Books,69,18,11,9,31,0,0,0,0,"Books@0.1.0","a00f8ff","Allow user to set pdf_filename","2021-03-04 15:11:10 +0100"
Books,74,18,12,13,31,0,0,0,0,"Books@0.1.0","d03ad02","Add defaults/metadata.yml","2021-03-06 20:57:04 +0100"
Books,77,20,12,14,31,0,0,0,0,"Books@0.1.0","3bd8216","Set default config.toml (fix #40)","2021-03-06 21:42:56 +0100"
Books,77,20,13,14,30,0,0,0,0,"Books@0.1.1","22b6dee","Support unicode in PDF","2021-03-07 09:24:11 +0100"
Books,80,21,13,14,32,0,0,0,0,"Books@0.1.1","428419f","Add generate_content(::Function) (fix #41)","2021-03-07 11:30:58 +0100"
Books,82,23,13,14,32,0,0,0,0,"Books@0.1.1","9d44b10","Add Books.doctest (fix #16)","2021-03-07 12:30:16 +0100"
Books,83,24,13,14,32,0,0,0,0,"Books@0.1.1","2af3b58","Install Source Code Pro font (#47)","2021-03-07 20:14:25 +0100"
