Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
CairoMakie,893,187,138,61,306,131,60,6,4,"CairoMakie@0.6","e59f4f07","Merge pull request #1020 from JuliaPlots/sd/monorepo","2021-06-12 17:27:37 +0200"
CairoMakie,893,187,138,61,306,131,60,7,3,"CairoMakie@0.6","d845be98","Merge pull request #1057 from JuliaPlots/jk/menu-auto-direction","2021-06-18 14:21:11 +0200"
CairoMakie,893,187,138,61,306,131,60,6,4,"CairoMakie@0.6","036c9ecf","Remove deprecated MakieLayout from tutorial. (#1053)","2021-06-18 14:21:38 +0200"
CairoMakie,893,187,138,61,306,131,60,7,3,"CairoMakie@0.6.1","01369cbe","Merge pull request #1063 from schillic/patch-1","2021-06-24 09:58:00 +0200"
CairoMakie,893,187,138,61,306,131,60,6,4,"CairoMakie@0.6.2","39093b57","fix test artifact creation (#1077)","2021-06-27 21:23:52 +0200"
CairoMakie,893,187,138,61,306,131,60,7,3,"CairoMakie@0.6.2","e60cc72c","upload artifacts even if tests fail (#1080)","2021-06-28 10:27:30 +0200"
CairoMakie,893,187,138,61,306,131,60,6,4,"CairoMakie@0.6.2","61a90391","Merge pull request #1070 from JuliaPlots/sd/surface-trans","2021-06-28 12:12:31 +0200"
CairoMakie,893,187,138,61,306,131,60,7,3,"CairoMakie@0.6.2","c4446db3","Merge pull request #1069 from JuliaPlots/sd/barlabels","2021-06-29 12:34:54 +0200"
CairoMakie,893,187,138,61,306,131,60,6,4,"CairoMakie@0.6.2","486b4663","Add stairs plot (#1086)","2021-07-01 16:25:39 +0200"
CairoMakie,893,187,138,61,306,131,60,7,3,"CairoMakie@0.6.2","8d3893b6","Merge pull request #1095 from JuliaPlots/sd/better-tests","2021-07-05 18:58:22 +0200"
CairoMakie,893,187,138,61,306,131,60,6,4,"CairoMakie@0.6.2","028581ab","jk/news (#1098)","2021-07-08 16:04:03 +0200"
CairoMakie,893,187,138,61,306,131,60,7,3,"CairoMakie@0.6.2","9f3ee112","remove duplication","2021-07-08 16:14:00 +0200"
CairoMakie,894,187,139,61,306,131,60,6,4,"CairoMakie@0.6.2","1db0a286","Merge pull request #1105 from JuliaPlots/sd/fix-docs","2021-07-09 17:49:05 +0200"
CairoMakie,894,187,139,61,306,131,60,7,3,"CairoMakie@0.6.2","5ae59b34","Merge pull request #1068 from JuliaPlots/jk/reduce-axis-limits-updates","2021-07-10 14:04:49 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","ed312d51","bump minor makie version, patch backend versions, tag news","2021-07-15 16:52:58 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","6f6135d8","don't dev mathtexengine for docs anymore","2021-07-15 16:56:46 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","40c356b7","Update NEWS.md","2021-07-15 18:12:35 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","d5eb92de","Merge pull request #1133 from JuliaPlots/jk/single-text-update-fix","2021-07-16 20:41:32 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","819802d4","Merge pull request #1141 from JuliaPlots/sd/tag","2021-07-18 14:37:27 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","52065a29","Merge pull request #1143 from t-bltg/lscene_ttl","2021-07-20 17:54:51 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","abf38b6d","Merge pull request #1146 from t-bltg/ref_img_dl","2021-07-20 18:26:14 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","25daa7f2","Merge pull request #1134 from ffreyer/volumeslices","2021-07-27 12:32:22 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","13bce7e2","add svgs","2021-07-28 21:03:22 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","43a374a3","Update README.md","2021-07-28 21:10:06 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","4f3edafd","favicon.ico","2021-07-28 22:05:29 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","3823f2b5","Merge pull request #1160 from Kolaru/latex_mix_text","2021-07-29 11:43:05 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","6afc518c","Merge pull request #1183 from JuliaPlots/sd/fix-surface","2021-07-31 13:57:23 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","03debbb7","Update README.md","2021-08-03 13:43:31 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","e2b641aa","Merge pull request #1150 from JuliaPlots/sd/flexible-hist","2021-08-04 11:34:24 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","75b96024","Update transformation.jl (#1208)","2021-08-08 13:35:45 -0300"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","231bcf4d","jk/sidebar (#1216)","2021-08-16 11:42:08 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","09243b2f","remove contentbar (#1226)","2021-08-17 18:39:14 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","d6f71499","jk/lunr search (#1231)","2021-08-18 22:15:04 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","fc6a6618","remove zenodo link","2021-08-20 21:44:35 +0200"
CairoMakie,915,188,143,60,320,133,61,5,5,"CairoMakie@0.6.3","31c94a74","Merge pull request #1221 from ffreyer/DataInspector_fixes","2021-08-21 12:38:25 +0200"
CairoMakie,915,188,143,60,320,133,61,6,4,"CairoMakie@0.6.3","823cd05d","jk/docs tweaks (#1234)","2021-08-21 16:37:36 +0200"
CairoMakie,912,188,143,60,317,133,61,6,4,"CairoMakie@0.6.4","a3298c08","bump versions","2021-08-22 00:12:52 +0200"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","52b6bb67","up versions","2021-08-26 14:49:52 +0200"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","0b1db455","add lorenz example for front page (#1272)","2021-08-28 15:42:29 +0200"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","bd72b579","autoplay lorenz example, improve code expand toggle (#1281)","2021-08-31 00:08:54 +0200"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","424f4bb0","Fixed broken link to Makie docs (#1279)","2021-08-31 14:04:34 -0400"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","c284decf","Create CITATION.bib (#1285)","2021-09-02 01:41:45 -0400"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","b6c989d6","ignore label","2021-09-03 18:20:04 +0200"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","df7bfc6b","add citation paragraph","2021-09-03 19:43:03 +0200"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","55213470","jk/relative docs links (#1299)","2021-09-08 15:07:52 +0200"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","f761ec5e","jk/docs tweaks (#1323)","2021-09-19 11:46:05 +0200"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","827ec76e","add metrics workflow for measuring compilation latency (#1333)","2021-09-22 12:41:41 +0200"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","5b4eb3b4","tag filter logic","2021-09-22 13:13:47 +0200"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","adfa7487","move path up for git","2021-09-22 14:41:09 +0200"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","2a14fdb9","fix metrics file logic","2021-09-22 15:50:11 +0200"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","f75e4b51","fix #1071 (#1352)","2021-10-01 17:53:17 +0200"
CairoMakie,911,188,144,60,316,132,61,6,4,"CairoMakie@0.6.5","2453ea29","Update field name in docs (#1300)","2021-10-07 05:05:23 -0400"
CairoMakie,911,188,144,60,316,132,61,5,5,"CairoMakie@0.6.5","8156bfef","Fix repeated points in line (#1386)","2021-10-14 13:26:20 +0200"
CairoMakie,912,188,145,60,316,132,61,6,4,"CairoMakie@0.6.6","f1b52b45","up versions","2021-10-16 21:22:32 +0200"
CairoMakie,912,188,145,60,316,132,61,5,5,"CairoMakie@0.6.6","0461588e","tweaks or something?!","2021-10-27 22:09:33 +0200"
CairoMakie,912,188,145,60,316,132,61,6,4,"CairoMakie@0.6.6","8bb5a760","add examples","2021-10-27 22:10:30 +0200"
CairoMakie,912,188,145,60,316,132,61,5,5,"CairoMakie@0.6.6","d3c666c1","Cleanup render order & priority (#1411)","2021-10-28 22:22:53 +0200"
CairoMakie,912,188,145,60,316,132,61,6,4,"CairoMakie@0.6.6","d124ef79","fix regressions (#1414)","2021-10-29 01:29:35 +0200"
CairoMakie,912,188,145,60,316,132,61,5,5,"CairoMakie@0.6.6","c3bfb04a","Improve Latex docs (#1408)","2021-10-29 15:36:33 +0200"
CairoMakie,912,188,145,60,316,132,61,6,4,"CairoMakie@0.6.6","1dc3c9a6","allow lines of offsetarrays (#1260)","2021-11-02 11:54:18 +0100"
CairoMakie,912,188,145,60,316,132,61,5,5,"CairoMakie@0.6.6","befc016a","fix camera replacement (#1421)","2021-11-02 12:08:09 +0100"
CairoMakie,912,188,145,60,316,132,61,6,4,"CairoMakie@0.6.6","27ed5ccc","add `resize_to_layout!` (#1438)","2021-11-11 13:44:36 +0100"
