Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
Convex,3673,1347,1439,137,180,105,422,5,38,"Convex@0.0.0","51105785","Add a Project file, remove vestigial Pkg uses (#269)","2019-01-18 14:53:02 -0800"
Convex,3673,1348,1439,136,180,105,422,5,38,"Convex@0.0.0","17fd5c16","Allow indexing into ConicObj with any Integer (#273)","2019-01-24 10:40:33 -0800"
Convex,3668,1344,1438,134,182,105,422,5,38,"Convex@0.0.0","03d9764f","Fix and simplify partial trace, add more tests (#284)","2019-05-06 22:44:57 +0100"
Convex,3668,1345,1438,133,182,105,422,5,38,"Convex@0.0.0","88dd3372","Make global variables constant (#286)","2019-05-08 21:32:44 +0100"
Convex,3669,1345,1439,133,182,105,422,5,38,"Convex@0.12.3","54409432","Fix `fix!` for fixing to a vector; add test","2019-08-16 17:33:07 +0100"
Convex,3678,1350,1441,134,183,105,422,5,38,"Convex@0.12.3","87eb474c","Partial transpose atom (#316)","2019-08-21 11:16:45 +0200"
Convex,3714,1364,1447,135,194,106,424,5,39,"Convex@0.12.4","b4f89f3a","Improve printing of problems, constraints, and variables (#325)","2019-09-10 17:20:12 -0400"
Convex,3715,1363,1446,135,197,106,424,5,39,"Convex@0.12.4","b98580c4","Merge pull request #322 from ericphanson/remove-id-to-variables","2019-09-10 17:21:10 -0400"
Convex,3756,1397,1447,135,200,109,424,5,39,"Convex@0.12.5","cba179fe","Merge pull request #328 from ericphanson/ProblemDepot","2019-10-28 19:47:37 +0000"
Convex,3711,1353,1447,134,200,109,424,5,39,"Convex@0.12.5","d2bb5cd6","Merge pull request #343 from ericphanson/update-docs","2019-11-05 18:00:14 +0000"
Convex,3714,1353,1447,134,200,112,424,5,39,"Convex@0.12.5","8508525c","Merge pull request #345 from ericphanson/eph/maxwidth","2019-11-08 13:29:31 +0000"
Convex,3713,1351,1449,134,199,112,424,5,39,"Convex@0.12.6","aa61f534","Add compat for BenchmarkTools","2019-11-08 14:33:26 +0000"
Convex,3956,1383,1553,144,217,115,492,8,44,"Convex@0.12.6","60d87978","Merge pull request #330 from ericphanson/MathOptInterface","2019-12-02 21:44:24 +0000"
Convex,606,249,138,97,48,17,44,0,13,"Convex@0.13.0","9578b9cd","Merge pull request #357 from JuliaOpt/rearrange","2020-01-13 19:20:37 +0000"
Convex,607,250,138,97,48,17,44,0,13,"Convex@0.13.0","b5277145","Merge pull request #359 from ericphanson/quadform","2020-01-14 20:12:44 +0000"
Convex,609,250,138,97,48,17,46,0,13,"Convex@0.13.0","bdabc6f4","Merge pull request #368 from JuliaOpt/eph/moi_solve","2020-02-28 14:33:21 -0600"
Convex,625,264,137,100,48,17,46,0,13,"Convex@0.13.4","dd2f6c98","`AbstractVariable` interface; allow variables to carry constraints (#358)","2020-07-27 18:05:49 +0100"
Convex,626,264,137,100,48,17,46,0,14,"Convex@0.13.5","c97b779d","fix 398 (#399)","2020-08-25 03:06:39 +0100"
Convex,627,265,137,100,48,17,46,0,14,"Convex@0.13.6","ea709c00","Fix `diagm(x)` (#402)","2020-09-08 21:19:54 +0100"
Convex,628,266,137,100,48,17,46,0,14,"Convex@0.13.8","481fa02b","switch DCP warning mechanism","2021-01-17 17:52:11 +0100"
Convex,605,259,130,97,45,15,46,0,13,"Convex@0.14.0-DEV","45e18a4e","Remove deprecations; update `norm` behavior (#412)","2021-01-17 18:41:31 +0100"
Convex,669,299,136,106,51,15,46,0,16,"Convex@0.14.7","9656d622","ported cvxquad: matrix log, geometric mean, quantum entropy (#418)","2021-05-04 12:35:13 -0700"
Convex,670,299,136,106,51,15,47,0,16,"Convex@0.14.13","6371b5e3","fix #446 (#450)","2021-07-25 22:40:45 +0200"
Convex,680,299,137,106,57,15,50,0,16,"Convex@0.14.14","35b8d6b0","add `assume_psd` option to `quadform` (#456)","2021-09-15 00:10:20 +0200"
Convex,681,299,137,106,58,15,50,0,16,"Convex@0.14.17","b092a933","Support both MOI v0.9 and MOI v0.10 (#468)","2021-11-14 21:56:22 +0100"
Convex,736,315,161,106,67,17,52,0,18,"Convex@0.15.0-DEV","1f48d1f4","Update to MOI v1.0 (#476)","2022-02-23 16:51:19 +1300"
