Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
JuMP,584,177,112,22,141,25,100,2,5,"JuMP@0.19.2","3cdb4055","Merge pull request #2003 from coroa/moi09","2019-08-18 17:55:38 +0200"
JuMP,584,177,112,22,141,25,100,1,6,"JuMP@0.19.2","dcaccf1f","Minor changes to nonnegative_bridges","2019-08-18 18:07:27 +0200"
JuMP,584,177,112,22,141,25,100,2,5,"JuMP@0.19.2","c5665229","Implement map_indices and substitute_indices for NLPBlockData","2019-08-18 18:07:52 +0200"
JuMP,585,177,112,22,142,25,100,0,7,"JuMP@0.19.2","a1c4f978","Merge pull request #1974 from raphaelsaavedra/master","2019-08-20 11:44:44 +0200"
JuMP,586,177,112,23,142,25,100,2,5,"JuMP@0.19.2","b0f71897","Merge pull request #1949 from rtwalker/rw/raw_status","2019-08-20 11:50:12 +0200"
JuMP,591,167,112,28,153,25,99,1,6,"JuMP@0.19.2","be85238d","Remove dictionaries tracking SingleVariable constraints (#2032)","2019-08-20 15:53:38 -0400"
JuMP,594,167,112,28,156,25,99,1,6,"JuMP@0.19.2","4ef4c103","Merge pull request #1960 from JuliaOpt/bl/add_to_function_constant","2019-08-23 10:03:26 +0200"
JuMP,594,167,112,28,156,25,99,2,5,"JuMP@0.19.2","c1b730cc","Update to MOI v0.9.1","2019-08-23 13:17:59 +0200"
JuMP,594,167,112,28,156,25,99,1,6,"JuMP@0.19.2","496f3ee5","Merge pull request #2034 from JuliaOpt/bl/j1.2","2019-08-23 14:28:52 +0200"
JuMP,595,168,112,28,156,25,99,1,6,"JuMP@0.19.2","3d177c40","Merge pull request #2041 from JuliaOpt/bl/dual_objective_value","2019-08-24 21:43:27 +0200"
JuMP,595,168,112,28,156,25,99,2,5,"JuMP@0.20.0","6968fbee","Remove MOIB","2019-08-25 14:14:15 +0200"
JuMP,595,168,112,28,156,25,99,1,6,"JuMP@0.20.0","3a6bb0b7","Merge pull request #2061 from JuliaOpt/od/fix_test","2019-09-15 16:20:00 +0200"
JuMP,598,168,112,30,157,25,99,1,6,"JuMP@0.20.0","54e611f5","[[un]set_]time_limit_sec (#2053)","2019-09-15 17:42:37 +0200"
JuMP,598,168,112,30,157,25,99,2,5,"JuMP@0.20.0","cebd91c3","Add plural macro docs (#2062)","2019-09-16 11:10:51 -0500"
JuMP,606,168,114,30,163,25,99,1,6,"JuMP@0.20.0","bc53d262","Merge pull request #2063 from JuliaOpt/bl/sparse_dot","2019-09-21 21:36:04 +0200"
JuMP,606,168,114,30,163,25,99,2,5,"JuMP@0.20.0","5c799ef2","Merge pull request #2067 from JuliaOpt/bl/README_solver_list","2019-09-21 21:36:49 +0200"
JuMP,606,168,114,30,163,25,99,1,6,"JuMP@0.20.0","1a4f6635","Merge pull request #2071 from JuliaOpt/bl/sdpt3","2019-09-30 23:48:16 +0200"
