Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
Makie,619,149,104,8,178,117,58,4,1,"Makie@0.9.3","ecfcbe92","Merge pull request #359 from JuliaPlots/as/nostats","2019-05-24 11:50:02 +0200"
Makie,751,130,91,7,160,241,114,8,0,"Makie@0.9.6","6793c704","Merge pull request #455 from JuliaPlots/sd/release","2020-03-31 18:07:48 +0200"
Makie,702,136,91,8,166,241,51,8,1,"Makie@0.10.0","d16a9311","Merge pull request #460 from JuliaPlots/as/release-0.9.7","2020-04-14 09:53:49 +0530"
Makie,702,136,91,8,166,241,51,9,0,"Makie@0.10.0","329f4bfc","Update README.md","2020-05-10 15:26:47 +0200"
Makie,702,136,91,8,166,241,51,8,1,"Makie@0.10.0","6ecea0ab","Merge pull request #608 from ianshmean/patch-1","2020-05-20 17:31:25 +0200"
Makie,714,137,92,8,169,247,52,9,0,"Makie@0.11.0","ba4becb0","Bump version to 0.11.0","2020-05-29 10:51:37 +0530"
Makie,619,148,105,8,178,117,58,4,1,"Makie@0.11.0","7693355d","Merge pull request #667 from JuliaPlots/sd/bump","2020-07-31 11:42:20 +0200"
Makie,619,148,105,8,178,117,58,5,0,"Makie@0.11.1","d083f957","Update Project.toml","2020-07-31 11:42:40 +0200"
Makie,630,154,106,8,179,119,59,4,1,"Makie@0.11.2","e2cd2ebd","Add files via upload","2020-11-26 22:13:14 +0100"
Makie,1690,338,258,34,582,229,176,56,17,"Makie@0.13.2","499a134c","update key","2021-05-22 22:24:32 +0200"
Makie,1690,338,258,34,582,229,176,53,20,"Makie@0.13.2","7606980a","change git user to github bot","2021-05-22 22:31:48 +0200"
Makie,1693,339,259,34,583,229,176,55,18,"Makie@0.13.2","92b951da","Merge pull request #968 from ffreyer/scales","2021-05-23 13:36:40 +0200"
Makie,1693,339,259,34,583,229,176,50,23,"Makie@0.13.2","a7da295d","Merge pull request #977 from visr/note","2021-05-24 13:02:25 +0200"
Makie,1585,303,248,72,575,201,155,18,13,"Makie@0.14.1","ac0429c3","up makie patch version","2021-06-18 14:40:56 +0200"
Makie,1585,303,248,72,575,201,155,15,16,"Makie@0.14.1","beb3fcd1","bump backends","2021-06-18 16:03:24 +0200"
