Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
ParameterizedFunctions,23,1,0,0,21,1,0,0,0,"ParameterizedFunctions@4.2.0","006947e","Project.toml","2019-07-08 08:47:26 -0400"
ParameterizedFunctions,18,0,0,0,18,0,0,0,0,"ParameterizedFunctions@5.0.0","ebf9781","Merge pull request #61 from JuliaDiffEq/mtk","2020-03-19 22:27:34 -0400"
ParameterizedFunctions,19,0,1,0,18,0,0,0,0,"ParameterizedFunctions@5.0.3","eb239c0","Merge pull request #64 from SciML/latexify","2020-04-12 01:10:33 -0400"
ParameterizedFunctions,98,12,4,21,53,6,2,0,0,"ParameterizedFunctions@5.4.0","0a0b538","Merge pull request #68 from SciML/reexport","2020-07-12 10:58:02 -0400"
ParameterizedFunctions,83,7,2,18,50,5,1,0,0,"ParameterizedFunctions@5.4.0","986dfeb","Merge pull request #69 from SciML/compathelper/new_version/2020-08-17-21-12-46-990-2685407026","2020-08-23 18:56:20 +0200"
ParameterizedFunctions,125,16,13,24,61,8,3,0,0,"ParameterizedFunctions@5.6.0","22f7381","Merge pull request #73 from shashi/s/mtk","2020-10-29 05:47:14 -0400"
ParameterizedFunctions,230,16,30,38,136,8,2,0,0,"ParameterizedFunctions@5.9.0","b443b8b","Merge pull request #78 from SciML/myb/mtk","2021-01-18 23:11:44 -0500"
ParameterizedFunctions,470,45,79,83,223,10,15,10,5,"ParameterizedFunctions@5.12.2","b8df68b","Merge pull request #89 from vnikoofard/patch-1","2021-12-25 18:42:16 -0500"
ParameterizedFunctions,470,45,79,83,223,10,15,8,7,"ParameterizedFunctions@5.13.1","1beb826","bump","2022-01-19 02:45:24 -0500"
ParameterizedFunctions,470,45,79,83,223,10,15,9,6,"ParameterizedFunctions@5.13.1","b1c05f9","fix docs Project.toml","2022-06-06 12:09:29 -0400"
ParameterizedFunctions,470,45,79,83,223,10,15,6,9,"ParameterizedFunctions@5.13.2","fcead75","add/fix example","2022-06-06 12:31:59 -0400"
ParameterizedFunctions,470,45,79,83,223,10,15,8,7,"ParameterizedFunctions@5.13.2","0f185ef","Merge pull request #92 from SciML/format","2022-06-23 15:44:22 -0400"
ParameterizedFunctions,433,37,69,77,225,10,13,0,2,"ParameterizedFunctions@5.13.2","5c050d0","Merge pull request #93 from SciML/compathelper/new_version/2022-08-21-09-03-52-703-04181108690","2022-08-21 05:05:23 -0400"
ParameterizedFunctions,428,37,69,77,220,10,13,0,2,"ParameterizedFunctions@5.15.1","ca430a8","Merge pull request #99 from ArnoStrouwen/master","2022-10-29 06:32:55 -0500"
