"Module","Methods","Stable","Partial","Unstable","Any","Vararg","Generic","TcFail","NoFuel","Version","Commit","Message","Date","DeltaMethods","DeltaUnstable"
"PowerSystems",339,107,54,25,129,2,22,0,0,"PowerSystems@0.2.1","7af8fad2a","Merge pull request #187 from daniel-thom/issue-186","2019-03-27 14:18:25 -0600",0,-1
"PowerSystems",2071,1560,124,115,196,0,49,0,27,"PowerSystems@0.22.0","84b3f3aa2","Merge pull request #538 from NREL-SIIP/rh/update_pf_base","2020-07-14 16:05:56 -0700",0,2
"PowerSystems",2085,1561,124,121,196,0,56,0,27,"PowerSystems@0.23.2","ff4b4b73d","Merge pull request #550 from NREL-SIIP/cb/get_rating_bug","2020-07-21 09:19:13 -0700",0,1
"PowerSystems",2520,1916,128,192,200,0,57,0,27,"PowerSystems@0.24.0","189bfa1f2","Merge pull request #564 from NREL-SIIP/cb/parse_vom","2020-08-01 14:32:54 -0700",0,1
"PowerSystems",3336,1435,150,251,1395,1,81,0,23,"PowerSystems@0.28.1","96b0224e3","Update Project.toml","2020-10-22 21:00:04 -0400",0,43
"PowerSystems",3336,1430,153,254,1393,1,81,0,24,"PowerSystems@1.0.0","755c4fd72","Merge pull request #645 from NREL-SIIP/cb/inflow_pu","2020-11-03 13:58:34 -0500",0,3
"PowerSystems",3336,1428,153,256,1393,1,81,0,24,"PowerSystems@1.0.0","34da6dcf6","Merge pull request #647 from NREL-SIIP/sd/multi_start_update","2020-11-04 11:33:00 -0800",0,2
"PowerSystems",3339,1427,153,256,1396,1,82,0,24,"PowerSystems@1.0.0","d9af3bc3e","Merge pull request #656 from NREL-SIIP/jd/include_available_in_pf","2020-11-11 11:02:37 -0800",0,2
"PowerSystems",3535,1465,159,280,1512,1,92,0,26,"PowerSystems@1.8.1","b3020643e","Merge pull request #771 from NREL-SIIP/jd/add_conversion_to_area","2021-06-18 09:56:20 -0700",0,4
"PowerSystems",3761,1577,166,283,1612,1,96,0,26,"PowerSystems@1.11.0","c2e86d7bb","Merge pull request #798 from NREL-SIIP/jd/get_time_series_counts_bugfix","2021-09-01 07:37:55 -0700",0,1
"PowerSystems",4333,1876,197,295,1842,1,96,0,26,"PowerSystems@2.1.0","160845697","adding generated structs (#988)","2023-04-19 09:17:28 -0500",0,2
