Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
PrettyTables,10,3,2,0,5,0,0,0,0,"PrettyTables@0.1.0","cd56345",":tada: Initial commit","2019-01-12 01:15:34 -0200"
PrettyTables,13,4,3,0,6,0,0,0,0,"PrettyTables@0.1.0","7e3798f",":sparkles: Add support to highlighters","2019-01-12 14:33:56 -0200"
PrettyTables,13,2,2,0,3,0,6,0,0,"PrettyTables@0.1.0","e842b24",":bug: Allow any `Matrix` to be printed","2019-01-12 16:58:07 -0200"
PrettyTables,18,2,6,0,4,0,6,0,0,"PrettyTables@0.1.0","3925ea6",":sparkles: Add pre-defined highlighters","2019-01-12 17:06:26 -0200"
PrettyTables,26,10,6,0,4,0,6,0,0,"PrettyTables@0.1.0","46406a9",":sparkles: Add pre-defined formatters","2019-01-12 17:09:33 -0200"
PrettyTables,39,10,6,0,13,0,10,0,0,"PrettyTables@0.1.0","52aca5e",":sparkles: Add support to Tables.jl API","2019-01-12 22:30:14 -0200"
PrettyTables,41,10,6,0,13,0,12,0,0,"PrettyTables@0.1.0","69167a8",":breaking: Do not assume that header is in `Matrix`","2019-01-13 18:07:01 -0200"
PrettyTables,42,10,6,0,14,0,12,0,0,"PrettyTables@0.1.0","8c26eca",":lipstick: Reduce verbosity in printing function","2019-01-13 22:18:43 -0200"
PrettyTables,43,10,6,0,15,0,12,0,0,"PrettyTables@0.1.0","e38f884",":lipstick: Add macro to draw a horizontal table line","2019-01-13 23:25:55 -0200"
PrettyTables,45,11,6,0,16,0,12,0,0,"PrettyTables@0.2.1","1b768b6",":sparkles: :warning: Add support for Crayons","2019-01-18 00:11:07 -0200"
PrettyTables,45,9,7,0,16,0,12,0,1,"PrettyTables@0.3.0","096059e","Replace Vector{Int} with  AbstractVector{Int}","2019-02-14 11:39:36 -0500"
PrettyTables,53,10,8,0,22,0,12,0,1,"PrettyTables@0.3.1","23dc53a",":warning: :sparkles: Add support to crop the printing","2019-03-08 21:45:56 -0300"
PrettyTables,59,10,8,0,22,0,18,0,1,"PrettyTables@0.3.1","97443f4",":sparkles: Add support to dictionaries","2019-03-08 23:12:13 -0300"
PrettyTables,60,10,8,0,22,1,18,0,1,"PrettyTables@0.4.2","56abcc8",":sparkles: Add macro @pt to help pretty print tables","2019-06-12 16:44:41 -0300"
