Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
QuasiMonteCarlo,1,1,0,0,0,0,0,0,0,"QuasiMonteCarlo@0.1.0","64131a9","Files generated by PkgTemplates","2019-12-05 12:45:39 -0500"
QuasiMonteCarlo,6,0,0,0,6,0,0,0,0,"QuasiMonteCarlo@0.1.0","85238e9","package complete?","2019-12-05 13:09:54 -0500"
QuasiMonteCarlo,8,0,0,0,8,0,0,0,0,"QuasiMonteCarlo@0.1.0","eaa4218","generate_design_matrices","2019-12-05 15:05:10 -0500"
QuasiMonteCarlo,9,0,0,0,9,0,0,0,0,"QuasiMonteCarlo@0.2.0","0d234de","Merge pull request #5 from PieterjanRobbe/LatticeRules","2020-06-01 10:16:02 -0400"
QuasiMonteCarlo,14,0,2,0,12,0,0,0,0,"QuasiMonteCarlo@0.2.4","cd62b9c","Merge pull request #20 from archermarx/move-surrogates","2022-05-31 16:48:58 -0400"
QuasiMonteCarlo,16,0,2,0,13,0,1,0,0,"QuasiMonteCarlo@0.2.8","5868c43","Merge pull request #25 from thompsonmj/matt-thompson_feature_threaded-lhs","2022-06-07 17:19:33 -0400"
QuasiMonteCarlo,21,1,2,0,15,0,2,0,1,"QuasiMonteCarlo@0.2.9","9230087","Update Project.toml","2022-10-04 15:41:01 -0700"
QuasiMonteCarlo,24,1,3,0,15,0,4,0,1,"QuasiMonteCarlo@0.2.9","14a8859","In-place update","2022-10-05 12:33:31 -0700"
QuasiMonteCarlo,26,1,4,0,16,0,4,0,1,"QuasiMonteCarlo@0.2.10","f42d6f4","add assert for lb ub (#39)","2022-10-08 15:47:28 -0400"
QuasiMonteCarlo,26,1,3,0,16,0,4,0,2,"QuasiMonteCarlo@0.2.12","38db65f","Update Project.toml","2022-10-14 05:19:14 +0200"
QuasiMonteCarlo,28,1,3,0,17,0,5,0,2,"QuasiMonteCarlo@0.2.12","ed37244","Add a default to the rotation and force to Bool (#42)","2022-10-14 05:54:35 +0200"
QuasiMonteCarlo,29,0,4,0,18,0,6,0,1,"QuasiMonteCarlo@0.2.14","4bac614","Scrambled Faure Sequences (#45)","2022-10-22 10:22:40 -0700"
QuasiMonteCarlo,33,0,7,0,16,0,9,0,1,"QuasiMonteCarlo@0.2.16","bd94dbe","Fix Kronecker sequences (#50)","2022-10-25 10:21:47 -0700"
QuasiMonteCarlo,33,1,7,0,15,0,9,0,1,"QuasiMonteCarlo@0.2.17","f971b0b","Fix Faure sequences (#54)","2022-11-07 11:06:03 -0800"
QuasiMonteCarlo,34,6,11,0,7,0,9,0,1,"QuasiMonteCarlo@0.2.17","4a769aa","Merge pull request #59 from SciML/fallback","2022-11-28 16:40:23 +0100"
QuasiMonteCarlo,34,6,11,0,6,0,9,0,2,"QuasiMonteCarlo@0.2.19","48261dd","format","2022-11-29 17:46:35 +0100"
QuasiMonteCarlo,45,7,6,0,14,2,15,0,1,"QuasiMonteCarlo@0.2.19","77d91cc","Refactor code","2022-12-13 19:58:41 -0800"
QuasiMonteCarlo,101,8,12,2,46,2,28,0,3,"QuasiMonteCarlo@0.3.0","2dce990","Randomized qmc (#57)","2023-01-25 02:22:53 +0100"
