Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
TSML,8,4,1,3,0,0,0,0,0,"TSML@0.1.0","2fc6bad","check if scikit/caret are installed before testing them","2019-03-04 12:40:04 +0800"
TSML,9,6,1,2,0,0,0,0,0,"TSML@0.1.0","2c0fff0","another fix for system test to check scikit and caret availability","2019-03-12 16:25:23 +0000"
TSML,13,9,1,3,0,0,0,0,0,"TSML@0.1.0","8742e89","Merge pull request #1 from IBM/data_cleaning_modeling","2019-03-21 13:28:18 +0000"
TSML,14,10,1,3,0,0,0,0,0,"TSML@0.1.0","dc81f68","Merge pull request #2 from IBM/data_imputing","2019-03-26 16:21:19 +0000"
TSML,612,184,176,19,84,40,92,1,16,"TSML@2.3.5","8e33482","Merge pull request #82 from IBM/ReexportTransfomers","2019-08-14 01:05:49 +0100"
TSML,606,183,174,19,84,38,92,1,15,"TSML@2.3.9","a7f99a3","Merge pull request #92 from IBM/inline_docs","2019-10-19 00:15:31 +0100"
TSML,632,188,180,19,84,38,107,1,15,"TSML@2.4.1","206ad1b","create compathelper","2019-11-25 10:30:55 +0000"
TSML,320,66,121,64,40,0,18,0,11,"TSML@2.5.4","892cf9e","Merge pull request #156 from IBM/bug_fix","2020-09-03 21:08:32 +0100"
TSML,303,62,116,58,40,0,17,0,10,"TSML@2.5.4","b7d03c6","Merge pull request #160 from IBM/dynamic_module_load","2020-09-04 21:47:48 +0100"
TSML,306,64,117,58,40,0,17,0,10,"TSML@2.5.7","b301f98","Merge pull request #168 from IBM/plot_recipe","2020-09-21 23:17:47 +0100"
TSML,311,94,115,32,45,0,15,0,10,"TSML@2.6.1","bacf5e1","Merge pull request #175 from IBM/use_AMLPipelineBase","2020-10-22 00:08:16 +0100"
TSML,314,97,111,32,49,0,16,0,9,"TSML@2.6.1","60f8ba9","Merge pull request #179 from IBM/refactor_imputer","2020-10-24 11:36:33 +0100"
TSML,313,95,111,33,49,0,16,0,9,"TSML@2.6.1","41341a6","Merge pull request #184 from IBM/compathelper/new_version/2020-11-15-09-11-48-531-2959799273","2020-11-15 18:16:20 +0000"
TSML,310,94,110,32,49,0,16,0,9,"TSML@2.6.2","3fd0ce8","remove libsvm","2020-11-19 13:55:56 +0000"
TSML,322,99,113,32,36,0,30,1,11,"TSML@2.6.2","64e9fd2","remove exported names","2020-11-19 20:54:33 +0000"
TSML,1017,266,518,35,56,5,104,1,32,"TSML@2.7.0","790048b","Merge pull request #188 from IBM/refactor_and_use_non_macro_pipeline","2021-03-29 23:33:18 +0100"
