Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,Version,Commit,Message,Date
Wflow,1,1,0,0,0,0,0,0,0,"Wflow@0.1.0","55129f39","Files generated by PkgTemplates","2020-03-11 21:36:25 +0100"
Wflow,5,0,1,0,4,0,0,0,0,"Wflow@0.1.0","33d6658e","add the kinematic wave code","2020-03-15 23:11:19 +0100"
Wflow,8,0,1,0,7,0,0,0,0,"Wflow@0.1.0","866ca0fc","integrate sbm into the package","2020-04-04 16:44:17 +0200"
Wflow,9,0,1,0,7,0,1,0,0,"Wflow@0.1.0","3a8a1036","SBM put layers into a StaticArray","2020-04-04 22:48:46 +0200"
Wflow,10,1,1,0,7,0,1,0,0,"Wflow@0.1.0","48c36030","SBM struct - states not part of SBM struct (now function) - all model parameters part of SBM struct","2020-04-06 19:10:37 +0200"
Wflow,23,9,2,0,11,0,1,0,0,"Wflow@0.1.0","a5f594a5","sbm_update (vertical) - 1st version of the update function of wflow_sbm (vertical) - couple of comments/todo's: 	- write test(s) for this part 	- extend comments (functions and variables) 	- extend variables to write in SBM struct for each update 	- link to general Model struct 		- reader/writer (forcing (also lai clim)) 	- link to io (settings ini file (TOML))","2020-04-17 10:13:59 +0200"
Wflow,23,2,2,0,18,0,1,0,0,"Wflow@0.1.0","becafd13","don't constrain argument types to Float64","2020-04-21 16:18:10 +0200"
Wflow,23,2,3,0,17,0,1,0,0,"Wflow@0.1.0","80c63e44","use true/false instead of Bool(1)/Bool(0)","2020-04-21 18:02:19 +0200"
Wflow,24,2,3,0,18,0,1,0,0,"Wflow@0.1.0","78418db6","Transpose arrays now checks the layout of the grid in the netcdf file, and transpose if necessary.","2020-05-01 17:04:42 +0200"
Wflow,27,3,3,0,19,0,2,0,0,"Wflow@0.1.0","bd3b2b25","Subsurface model struct including initialization in sbm_model.jl","2020-05-01 22:17:11 +0200"
Wflow,29,3,3,0,21,0,2,0,0,"Wflow@0.1.0","2aa974d9","add detdrainlength/width","2020-05-04 14:42:35 +0200"
Wflow,30,3,3,0,22,0,2,0,0,"Wflow@0.1.0","fddbf488","run sbm - add test\run_sbm.jl to run sbm model (vertical part) for Moselle test data, with dummy forcing data. - add kinematic wave ssf (initialization works) - next step: update lateral subsurface model + link to vertical sbm","2020-05-05 23:12:07 +0200"
Wflow,31,3,3,0,23,0,2,0,0,"Wflow@0.1.0","bdf2bafa","run_sbm.jl: include lateral ssf model","2020-05-06 10:14:21 +0200"
Wflow,32,3,4,0,23,0,2,0,0,"Wflow@0.1.0","e9a1f611","SBM and lateral ssf runs now, run_sbm.jl; constructing SBM struct seems expensive... (from line 21)","2020-05-07 20:26:31 +0200"
Wflow,32,3,3,0,24,0,2,0,0,"Wflow@0.1.0","006d4fa7","run_sbm add simple tests","2020-05-10 22:28:17 +0200"
Wflow,30,2,2,0,24,0,2,0,0,"Wflow@0.1.0","d4b9014f","Merge pull request #6 from Deltares/create_sbm","2020-05-25 10:30:12 +0200"
Wflow,35,3,2,0,27,0,3,0,0,"Wflow@0.1.0","8c3e3f45","overland flow and river flow added to sbm_model.jl","2020-06-04 08:15:08 +0200"
Wflow,36,3,2,0,28,0,3,0,0,"Wflow@0.1.0","5d448056","river flow in sbm - land slope and river slope have minumum value - subsurface flow and overland flow diverted to river (function fraction_runoff_toriver), this is calculated once based on slope values - added river flow to run_sbm.jl","2020-06-11 10:57:11 +0200"
Wflow,42,3,2,0,34,0,3,0,0,"Wflow@0.1.0","949b7fbe","Merge pull request #19 from Deltares/forcing","2020-06-19 10:53:58 +0200"
Wflow,45,3,2,0,36,0,4,0,0,"Wflow@0.1.0","23bdd575","reservoirs (simple) - Reservoir struct (Array{Union{Nothing, Main.Wflow.SimpleReservoir{Float64}},1}) and update function. - Reservoir included in routing (surface_flow.jl). - Assumption is made that reservoirs only occur in river cells. - For reservoir cells pits are defined (subsurface flow and overland flow completely contribute to reservoir inflow).   These are not forced onto the dag/ldd but handled in the update functions.","2020-06-24 09:24:55 +0200"
Wflow,46,3,2,0,37,0,4,0,0,"Wflow@0.1.0","64db71f6","Extra split-up (update) sbm.jl for snowtransport","2020-06-26 09:19:46 +0200"
Wflow,47,3,2,0,38,0,4,0,0,"Wflow@0.1.0","e9db620e","snowtransport - function accucapacityflux in horizontal_process.jl - snow transport is handled at the model update level (run_sbm.jl)","2020-06-26 12:14:38 +0200"
Wflow,48,3,2,0,39,0,4,0,0,"Wflow@0.1.0","69932f5c","performance: use sum_at function","2020-06-29 21:38:09 +0200"
Wflow,54,3,2,0,45,0,4,0,0,"Wflow@0.1.0","aed0c645","Merge pull request #24 from Deltares/forcing","2020-07-06 17:34:25 +0200"
Wflow,141,3,16,7,101,0,14,0,0,"Wflow@0.1.0","41737994","return mutated variables, use type params in GroundWaterFlow","2020-11-04 22:51:20 +0100"
Wflow,142,3,16,7,102,0,14,0,0,"Wflow@0.1.0","2197d2ff","more robust NetCDF creation","2020-11-08 16:50:22 +0100"
Wflow,144,3,16,7,104,0,14,0,0,"Wflow@0.1.0","02a05557","pits and model type - model type should alway be provided (also for ""hbv"" and ""sbm"") - pits can be set in the drainage network of the sbm_model.","2020-11-07 12:41:13 +0100"
Wflow,145,3,16,8,104,0,14,0,0,"Wflow@0.1.0","da4e0c3c","Merge pull request #58 from Deltares/cli","2020-12-03 08:22:08 +0100"
Wflow,146,3,16,8,105,0,14,0,0,"Wflow@0.1.0","0b7adca6","Merge pull request #60 from Deltares/up-the-river","2020-12-07 21:25:51 +0100"
Wflow,205,4,18,8,109,0,20,0,46,"Wflow@0.1.0","ab59808d","bmi and units added units to sbm concpet (with  FieldMetadata), also now available through BMI.","2020-12-02 13:40:09 +0100"
