pack,modl,tyname,occurs,depth
JuMP,MathOptInterface,MathOptInterface.PrimalStatus,11,14
JuMP,MathOptInterface,MathOptInterface.ObjectiveValue,11,14
JuMP,MathOptInterface,MathOptInterface.DualStatus,11,13
JuMP,MathOptInterface,MathOptInterface.DualObjectiveValue,1,12
DifferentialEquations,Core,Bool,25466,11
JuMP,MathOptInterface,MathOptInterface.TerminationStatus,11,11
DifferentialEquations,OrdinaryDiffEq,OrdinaryDiffEq.OrdinaryDiffEqTag,3839,10
DifferentialEquations,Core,Float64,219192,10
DifferentialEquations,LinearAlgebra,LinearAlgebra.UniformScaling{Bool},21437,10
DifferentialEquations,SciMLBase,SciMLBase.AutoSpecialize,16009,10
DifferentialEquations,SciMLBase,typeof(SciMLBase.DEFAULT_OBSERVED),21798,10
DifferentialEquations,Core,Int64,42132,10
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.var""#lorenz#583""",12390,10
DifferentialEquations,Core,Nothing,356045,10
JuMP,MathOptInterface,MathOptInterface.SolveTime,1,10
DifferentialEquations,ForwardDiff,"ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}",3839,9
DifferentialEquations,Base,UnitRange{Int64},6202,9
DifferentialEquations,SciMLBase,SciMLBase.NullParameters,14020,9
DifferentialEquations,Core,"Tuple{Float64, Float64, Float64}",1461,9
DifferentialEquations,Core,Vector{Float64},65694,9
DifferentialEquations,SciMLBase,"ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}",12389,9
JuMP,MathOptInterface,MathOptInterface.SimplexIterations,1,9
DifferentialEquations,Base.MPFR,BigFloat,12411,8
DifferentialEquations,"Main.var""##313""","Main.var""##313"".var""#3#4""",4424,8
DifferentialEquations,Core,"Vector{Tuple{Float64, Float64, Float64}}",1461,8
DifferentialEquations,FiniteDiff,"FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}",2489,8
DifferentialEquations,"Main.var""##313""","Main.var""##313"".var""#1#2""",4423,8
DifferentialEquations,SciMLBase,"SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}",3976,8
DifferentialEquations,"Main.var""##313""","Main.var""##313"".var""#5#6""",3410,8
DifferentialEquations,Base,Rational{Int64},25793,8
DifferentialEquations,SciMLBase,SciMLBase.FullSpecialize,5781,8
DifferentialEquations,ForwardDiff,"ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}",2924,8
DifferentialEquations,DiffEqBase,DefaultLinSolve,18495,8
DifferentialEquations,Core,Matrix{Float64},39271,8
Gadfly,Core,UInt8,775,8
Gadfly,Core,Unsigned,5,8
JuMP,MathOptInterface,MathOptInterface.ResultCount,2,8
DifferentialEquations,SciMLBase,"ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}",3408,7
DifferentialEquations,Core,Matrix{BigFloat},8701,7
DifferentialEquations,Core,"Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}",2924,7
DifferentialEquations,ForwardDiff,"ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}",915,7
DifferentialEquations,SciMLBase,"ODEFunction{true, SciMLBase.FullSpecialize, Main.var""##313"".var""#1#2"", LinearAlgebra.UniformScaling{Bool}, Main.var""##313"".var""#3#4"", Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}",4421,7
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, DefaultLinSolve}",1442,7
