DifferentialEquations,Core,Bool,25466,11
DifferentialEquations,Core,Float64,219192,10
DifferentialEquations,Core,Int64,42132,10
DifferentialEquations,Core,Nothing,356045,10
DifferentialEquations,Base,UnitRange{Int64},6202,9
DifferentialEquations,Core,"Tuple{Float64, Float64, Float64}",1461,9
DifferentialEquations,Core,Vector{Float64},65694,9
DifferentialEquations,Core,"Vector{Tuple{Float64, Float64, Float64}}",1461,8
DifferentialEquations,Base,Rational{Int64},25793,8
DifferentialEquations,Core,Matrix{Float64},39271,8
Gadfly,Core,UInt8,775,8
Gadfly,Core,Unsigned,5,8
DifferentialEquations,Core,Matrix{BigFloat},8701,7
DifferentialEquations,Core,"Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}",2924,7
DifferentialEquations,Core,"Vector{Vector{Tuple{Float64, Float64, Float64}}}",1461,7
DifferentialEquations,Core,"Tuple{Float64, Float64}",5130,7
Gadfly,Core,Float64,4191,7
Gadfly,Core,Int64,4065,7
Gadfly,Core,Float32,661,7
Gadfly,Base,Missing,79,7
Gadfly,Core,Symbol,3944,7
Plots,Core,Float64,2076,7
DifferentialEquations,Core,"Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}}",914,6
DifferentialEquations,Base,Val{:forward},12342,6
Gadfly,Core,Signed,6,6
Gen,Core,Any,1294,6
Plots,Core,UInt8,630,6
Pluto,Core,UInt8,104,6
DifferentialEquations,Base,typeof(-),10,5
DifferentialEquations,Core,"Tuple{ArrayPartition{Float64, Tuple{Float64, Float64}}, ArrayPartition{Float64, Tuple{Float64, Float64}}}",20,5
DifferentialEquations,Core,Tuple{},24494,5
DifferentialEquations,Core,Tuple{5},486,5
DifferentialEquations,Core,"Tuple{5, 5}",493,5
Gadfly,Core,Vector{ColorTypes.RGBA{Float32}},97,5
Gadfly,Core,UInt32,172,5
Gadfly,Core,"Vector{Union{Missing, Int64}}",10,5
Gadfly,Core,Function,701,5
Gadfly,Base,UnitRange{Int64},172,5
Gadfly,Core,Vector{Measures.AbsoluteLength},209,5
Gadfly,Base,"LinRange{Measures.AbsoluteLength, Int64}",6,5
Gadfly,Core,Vector{UInt8},103,5
Gadfly,Core,Vector{ColorTypes.RGB{FixedPointNumbers.N0f8}},71,5
Gadfly,Core,Vector{ColorTypes.RGB{Float32}},129,5
Gadfly,Core,Vector{Int64},1480,5
Gadfly,Core,AbstractString,115,5
Gadfly,Core,Int32,49,5
Gadfly,Core,Nothing,2138,5
Gen,Core,Float64,1868,5
JuMP,Core,Float64,26626,5
Plots,Core,"Tuple{Measures.Length{:w, Float64}, Measures.Length{:h, Float64}}",22,5
Plots,Core,Int64,1073,5
Plots,Core,Symbol,1752,5
Pluto,Core,UInt64,24,5
Pluto,Core,String,352,5
Pluto,Core,Int64,516,5
Pluto,Core,Vector{UInt8},91,5
Pluto,Core,Symbol,450,5
Pluto,Core,Any,579,5
Pluto,Base,Base.RefValue{Main.workspace8.A},29,5
DifferentialEquations,Core,"NamedTuple{(), Tuple{}}",4370,4
DifferentialEquations,Core,"Tuple{OrdinaryDiffEq.Vern7Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, OrdinaryDiffEq.Vern7Tableau{Float64, Float64}}, OrdinaryDiffEq.Rosenbrock5Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rodas5Tableau{Float64, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}}}}",214,4
DifferentialEquations,Core,UInt8,67,4
DifferentialEquations,Core,"Tuple{OrdinaryDiffEq.Vern9Cache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, OrdinaryDiffEq.Vern9Tableau{BigFloat, Float64}}, OrdinaryDiffEq.Rosenbrock5Cache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, OrdinaryDiffEq.Rodas5Tableau{BigFloat, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{BigFloat}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, FiniteDiff.JacobianCache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, UnitRange{Int64}, Nothing, Val{:forward}(), BigFloat}, FiniteDiff.GradientCache{Nothing, Matrix{BigFloat}, Matrix{BigFloat}, Float64, Val{:forward}(), BigFloat, Val{true}()}}}",226,4
DifferentialEquations,Core,"Tuple{OrdinaryDiffEq.Vern7Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, OrdinaryDiffEq.Vern7Tableau{Float64, Float64}}, OrdinaryDiffEq.Rodas4Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.RodasTableau{Float64, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, FiniteDiff.GradientCache{Nothing, Vector{Float64}, Vector{Float64}, Float64, Val{:forward}(), Float64, Val{true}()}}}",224,4
